t_f px py fd
374156 -679 657 270
374166 -679 657 270
374176 -679 657 265
374186 -679 657 275
374196 -679 657 273
374206 -679 657 270
374216 -679 657 267
374226 -679 657 271
374236 -679 657 270
374246 -679 657 269
374256 -679 657 269
374266 -679 657 278
374276 -679 657 273
374286 -679 657 272
374296 -679 657 269
374306 -679 657 267
374316 -679 657 271
374326 -679 657 268
374336 -679 657 267
374346 -679 657 271
374356 -679 657 272
374366 -679 657 271
374376 -679 657 264
374386 -679 657 275
374396 -679 657 267
374406 -679 657 269
374416 -679 657 270
374426 -679 657 269
374436 -679 657 270
374446 -679 657 273
374457 -679 657 269
374467 -679 657 263
374477 -679 657 272
374487 -679 657 273
374497 -679 657 268
374507 -679 657 279
374516 -679 657 279
374526 -679 657 271
374536 -679 657 268
374546 -679 657 278
374556 -679 657 268
374566 -679 657 271
374576 -679 657 271
374586 -679 657 270
374596 -679 657 270
374606 -679 657 272
374616 -679 657 273
374626 -679 657 266
374636 -679 657 269
374646 -679 657 266
374656 -679 657 267
374666 -679 657 264
374676 -679 657 265
374686 -679 657 268
374696 -679 657 267
374706 -679 657 267
374716 -679 657 270
374726 -679 657 272
374736 -679 657 273
374746 -679 657 265
374756 -679 657 271
374766 -679 657 275
374776 -679 657 272
374786 -679 657 274
374796 -679 657 272
374806 -679 657 267
374816 -679 657 267
374826 -679 657 277
374836 -679 657 277
374846 -679 657 268
374856 -679 657 262
374866 -679 657 274
374876 -679 657 267
374886 -679 657 274
374896 -679 657 277
374906 -679 657 269
374916 -679 657 268
374926 -679 657 266
374936 -679 657 277
374946 -679 657 274
374956 -679 657 268
374966 -679 657 270
374976 -679 657 278
374986 -679 657 278
374996 -679 657 273
375006 -679 657 267
375016 -679 657 275
375026 -679 657 277
375036 -679 657 270
375046 -679 657 267
375056 -679 657 271
375066 -679 657 278
375076 -679 657 271
375086 -679 657 277
375096 -679 657 275
375106 -679 657 270
375116 -679 657 278
375126 -679 657 270
375136 -679 657 272
375146 -679 657 270
375156 -679 657 274
375166 -679 657 271
375176 -679 657 269
375186 -679 657 267
375196 -679 657 272
375206 -679 657 270
375216 -679 657 261
375226 -679 657 268
375236 -679 657 262
375246 -679 657 272
375256 -679 657 270
375266 -679 657 272
375276 -679 657 277
375286 -679 657 273
375296 -679 657 268
375306 -679 657 268
375316 -679 657 270
375326 -679 657 267
375336 -679 657 267
375346 -679 657 263
375356 -679 657 264
375366 -679 657 276
375376 -679 657 275
375386 -679 657 270
375396 -679 657 266
375406 -679 657 272
375416 -679 657 268
375426 -679 657 272
375436 -679 657 266
375446 -679 657 267
375456 -679 657 272
375466 -679 657 270
375476 -679 657 263
375486 -679 657 273
375496 -679 657 274
375506 -679 657 271
375516 -679 657 267
375526 -679 657 269
375536 -679 657 274
375546 -679 657 275
375556 -679 657 263
375566 -679 657 280
375576 -679 657 270
375586 -679 657 269
375596 -679 657 269
375606 -679 657 274
375616 -679 657 268
375626 -679 657 268
375636 -679 657 264
375646 -679 657 277
375656 -679 657 270
375666 -679 657 268
375676 -679 657 271
375686 -679 657 265
375696 -679 657 269
375706 -679 657 269
375716 -679 657 271
375726 -679 657 271
375736 -679 657 271
375746 -679 657 267
375756 -679 657 270
375766 -679 657 274
375776 -679 657 273
375786 -679 657 273
375796 -679 657 273
375806 -679 657 277
375816 -679 657 277
375826 -679 657 267
375836 -679 657 267
375846 -679 657 268
375856 -679 657 268
375866 -679 657 271
375876 -679 657 273
375886 -679 657 272
375896 -679 657 273
375906 -679 657 272
375916 -679 657 276
375926 -679 657 267
375936 -679 657 269
375946 -679 657 273
375956 -679 657 272
375966 -679 657 277
375976 -679 657 273
375986 -679 657 270
375996 -679 657 271
376006 -679 657 270
376016 -679 657 276
376026 -679 657 269
376036 -679 657 269
376046 -679 657 275
376056 -679 657 270
376066 -679 657 263
376076 -679 657 276
376086 -679 657 273
376096 -679 657 272
376106 -679 657 272
376116 -679 657 272
376126 -679 657 264
376136 -679 657 268
376147 -679 657 268
376157 -679 657 267
376167 -679 657 269
376177 -679 657 269
376187 -679 657 272
376197 -679 657 272
376207 -679 657 268
376216 -679 657 270
376226 -679 657 267
376236 -679 657 267
376246 -679 657 266
376256 -679 657 266
376266 -679 657 273
376276 -679 657 270
376286 -679 657 270
376296 -679 657 273
376306 -679 657 277
376316 -679 657 274
376326 -679 657 278
376336 -679 657 268
376346 -679 657 273
376356 -679 657 270
376366 -679 657 274
376376 -679 657 268
376386 -679 657 273
376396 -679 657 270
376406 -679 657 276
376416 -679 657 269
376426 -679 657 273
376436 -679 657 273
376446 -679 657 271
