t_imu ax ay az gx gy gz
16.956 -0.0610521 0.0448913 9.85992 -0.038147 -0.0686646 0.144959
16.966 -0.0529717 0.0637456 9.83837 -0.0228882 0.0305176 0.137329
16.976 -0.0583587 0.0475848 9.8698 0 -0.0228882 0.228882
16.986 -0.0448913 0.0368109 9.87788 0.0686646 -0.167847 0.076294
16.996 -0.0395043 0.0430956 9.86082 0.0534058 0.0915528 0.160217
17.007 -0.0475848 0.0386065 9.85005 0.0305176 0.0076294 0.137329
17.017 -0.0574608 0.0538695 9.86351 0.076294 -0.0534058 0.0076294
17.027 -0.0673369 0.056563 9.86621 0.0610352 0.0228882 0.198364
17.037 -0.056563 0.0520739 9.8689 0.0305176 0.0610352 0.198364
17.047 -0.0745195 0.0502782 9.85005 -0.106812 0.183106 0.190735
17.057 -0.0754174 0.0583587 9.85723 0.076294 -0.0686646 0.0152588
17.067 -0.0601543 0.0529717 9.85364 0.0915528 -0.0152588 0.106812
17.076 -0.0691326 0.0511761 9.86351 0.0228882 -0.106812 0.0686646
17.086 -0.0538695 0.0529717 9.8698 0 -0.0457764 0.0839234
17.096 -0.0502782 0.035913 9.87339 -0.038147 -0.0534058 0.0839234
17.106 -0.0529717 0.0350152 9.85005 0.0991822 -0.167847 0.12207
17.116 -0.0529717 0.0646434 9.87429 0.0915528 -0.0076294 0.190735
17.126 -0.0511761 0.0655413 9.87429 0.12207 0.038147 0.0305176
17.136 -0.0646434 0.0395043 9.84825 -0.0152588 -0.0610352 0.190735
17.146 -0.0763152 0.0493804 9.86621 0.076294 -0.160217 0.137329
17.156 -0.0574608 0.0520739 9.86531 -0.0076294 -0.0152588 0.0915528
17.166 -0.0592565 0.0520739 9.85633 0.0076294 -0.137329 0.167847
17.176 -0.0484826 0.0421978 9.84825 0.144959 -0.12207 0.038147
17.186 -0.0655413 0.0529717 9.86351 0.0457764 0.0915528 0
17.196 -0.0709282 0.0395043 9.86082 0.0457764 0.0152588 0.152588
17.206 -0.077213 0.0278326 9.87159 0.076294 -0.190735 0.1297
