opt_t p_x p_y wall_0 wall_1 img_quality
486.226 1.08825 -30.804 4923 4924 237
486.236 1.08825 -30.804 4921 4924 237
486.246 1.08825 -30.804 4918 4923 235
486.256 1.08825 -30.804 4923 4924 230
486.266 1.08825 -30.804 4920 4924 235
486.276 1.08825 -30.804 4915 4923 231
486.286 1.08825 -30.804 4919 4925 236
486.296 1.08825 -30.804 4922 4924 234
486.306 1.08825 -30.804 4918 4922 236
486.316 1.08825 -30.804 4915 4923 240
486.326 1.08825 -30.804 4917 4924 232
486.336 1.08825 -30.804 4920 4923 234
486.347 1.08825 -30.804 4921 4923 236
486.357 1.08825 -30.804 4926 4923 235
486.367 1.08825 -30.804 4924 4924 239
486.377 1.08825 -30.804 4934 4924 235
486.387 1.08825 -30.804 4931 4921 233
486.397 1.08825 -30.804 4914 4921 232
486.407 1.08825 -30.804 4916 4923 235
486.416 1.08825 -30.804 4913 4923 236
486.426 1.08825 -30.804 4915 4925 237
486.436 1.08825 -30.804 4922 4922 238
486.446 1.08825 -30.804 4920 4922 237
486.456 1.08825 -30.804 4919 4923 239
486.466 1.08825 -30.804 4920 4923 240
486.476 1.08825 -30.804 4923 4923 238
486.486 1.08825 -30.804 4922 4921 236
486.496 1.08825 -30.804 4916 4920 239
486.506 1.08825 -30.804 4919 4921 233
486.516 1.08825 -30.804 4920 4922 233
486.526 1.08825 -30.804 4917 4922 232
486.536 1.08825 -30.804 4914 4923 237
486.546 1.08825 -30.804 4914 4923 230
486.556 1.08825 -30.804 4916 4923 239
486.566 1.08825 -30.804 4918 4925 235
486.576 1.08825 -30.804 4923 4924 238
486.586 1.08825 -30.804 4923 4925 239
486.596 1.08825 -30.804 4917 4924 233
486.606 1.08825 -30.804 4918 4923 234
486.616 1.08825 -30.804 4917 4922 242
486.626 1.08825 -30.804 4920 4921 236
486.636 1.08825 -30.804 4921 4922 234
486.646 1.08825 -30.804 4913 4922 235
486.656 1.08825 -30.804 4915 4923 240
486.666 1.08825 -30.804 4915 4923 238
486.676 1.08825 -30.804 4921 4924 236
486.686 1.08825 -30.804 4929 4925 234
486.696 1.08825 -30.804 4923 4925 240
486.706 1.08825 -30.804 4914 4922 237
486.716 1.08825 -30.804 4916 4922 237
486.726 1.08825 -30.804 4924 4922 235
486.736 1.08825 -30.804 4921 4921 233
486.746 1.08825 -30.804 4921 4924 240
486.756 1.08825 -30.804 4918 4923 229
486.766 1.08825 -30.804 4915 4922 230
486.776 1.08825 -30.804 4920 4923 233
486.786 1.08825 -30.804 4916 4924 233
486.796 1.08825 -30.804 4914 4923 237
486.806 1.08825 -30.804 4919 4921 237
486.816 1.08825 -30.804 4922 4921 233
486.826 1.08825 -30.804 4924 4923 235
486.836 1.08825 -30.804 4919 4922 240
486.846 1.08825 -30.804 4917 4920 232
486.856 1.08825 -30.804 4916 4923 236
486.866 1.08825 -30.804 4916 4922 234
486.876 1.08825 -30.804 4916 4920 238
486.886 1.08825 -30.804 4913 4920 234
486.896 1.08825 -30.804 4920 4922 236
486.906 1.08825 -30.804 4920 4922 237
486.916 1.08825 -30.804 4915 4921 236
486.926 1.08825 -30.804 4913 4919 238
486.936 1.08825 -30.804 4917 4921 242
486.946 1.08825 -30.804 4918 4922 235
486.956 1.08825 -30.804 4919 4922 236
486.966 1.08825 -30.804 4922 4921 239
486.976 1.08825 -30.804 4915 4921 234
486.986 1.08825 -30.804 4917 4923 239
486.996 1.08825 -30.804 4921 4925 232
487.006 1.08825 -30.804 4915 4921 234
487.016 1.08825 -30.804 4916 4922 229
487.026 1.08825 -30.804 4924 4925 227
487.036 1.08825 -30.804 4920 4924 237
487.046 1.08825 -30.804 4918 4923 241
487.056 1.08825 -30.804 4927 4923 239
487.066 1.08825 -30.804 4923 4923 247
487.076 1.08825 -30.804 4916 4924 235
487.086 1.08825 -30.804 4921 4923 233
487.096 1.08825 -30.804 4914 4923 233
487.106 1.08825 -30.804 4914 4924 238
487.116 1.08825 -30.804 4927 4922 241
487.126 1.08825 -30.804 4926 4922 234
487.136 1.08825 -30.804 4920 4924 243
487.146 1.08825 -30.804 4916 4923 239
487.156 1.08825 -30.804 4917 4923 241
487.166 1.08825 -30.804 4926 4924 235
487.176 1.08825 -30.804 4927 4923 240
487.186 1.08825 -30.804 4920 4922 230
487.196 1.08825 -30.804 4925 4924 241
487.206 1.08825 -30.804 4925 4926 235
487.216 1.08825 -30.804 4915 4922 240
487.226 1.08825 -30.804 4918 4921 239
487.236 1.08825 -30.804 4919 4924 229
487.246 1.08825 -30.804 4918 4924 239
487.256 1.08825 -30.804 4920 4923 236
487.266 1.08825 -30.804 4921 4925 239
487.276 1.08825 -30.804 4919 4925 235
487.286 1.08825 -30.804 4922 4923 239
487.296 1.08825 -30.804 4920 4921 238
487.306 1.08825 -30.804 4915 4921 230
487.316 1.08825 -30.804 4915 4923 234
487.326 1.08825 -30.804 4917 4921 236
487.336 1.08825 -30.804 4922 4921 241
487.346 1.08825 -30.804 4918 4923 237
487.356 1.08825 -30.804 4914 4921 243
487.366 1.08825 -30.804 4921 4921 232
487.376 1.08825 -30.804 4927 4923 238
487.386 1.08825 -30.804 4924 4924 237
487.396 1.08825 -30.804 4923 4924 239
487.406 1.08825 -30.804 4922 4924 235
487.416 1.08825 -30.804 4920 4925 236
487.426 1.08825 -30.804 4920 4923 235
487.436 1.08825 -30.804 4918 4924 235
487.446 1.08825 -30.804 4914 4924 235
487.456 1.08825 -30.804 4915 4922 237
487.466 1.08825 -30.804 4918 4923 236
487.476 1.08825 -30.804 4919 4923 244
487.486 1.08825 -30.804 4918 4922 236
487.496 1.08825 -30.804 4914 4922 237
487.506 1.08825 -30.804 4914 4924 237
487.516 1.08825 -30.804 4921 4923 235
487.526 1.08825 -30.804 4926 4922 237
487.536 1.08825 -30.804 4917 4922 232
487.546 1.08825 -30.804 4913 4922 237
487.556 1.08825 -30.804 4915 4923 237
487.566 1.08825 -30.804 4919 4922 235
487.576 1.08825 -30.804 4926 4921 237
487.586 1.08825 -30.804 4922 4920 241
487.596 1.08825 -30.804 4917 4921 234
487.606 1.08825 -30.804 4915 4920 234
487.616 1.08825 -30.804 4914 4921 236
487.626 1.08825 -30.804 4916 4923 235
487.636 1.08825 -30.804 4911 4922 244
487.646 1.08825 -30.804 4916 4922 236
487.656 1.08825 -30.804 4920 4924 234
487.666 1.08825 -30.804 4920 4925 238
487.676 1.08825 -30.804 4926 4922 231
487.686 1.08825 -30.804 4921 4919 232
487.696 1.08825 -30.804 4915 4921 236
487.706 1.08825 -30.804 4919 4922 230
487.716 1.08825 -30.804 4923 4921 237
487.726 1.08825 -30.804 4922 4923 238
487.736 1.08825 -30.804 4919 4923 239
487.746 1.08825 -30.804 4919 4925 238
487.756 1.08825 -30.804 4922 4924 240
487.766 1.08825 -30.804 4924 4921 239
487.776 1.08825 -30.804 4922 4922 235
487.786 1.08825 -30.804 4917 4923 239
487.796 1.08825 -30.804 4919 4923 236
487.806 1.08825 -30.804 4922 4923 235
487.816 1.08825 -30.804 4925 4921 237
487.826 1.08825 -30.804 4920 4922 235
487.836 1.08825 -30.804 4912 4923 234
487.846 1.08825 -30.804 4916 4924 237
487.856 1.08825 -30.804 4917 4922 232
487.866 1.08825 -30.804 4921 4921 235
487.876 1.08825 -30.804 4924 4925 240
487.886 1.08825 -30.804 4917 4926 235
487.896 1.08825 -30.804 4915 4922 236
487.906 1.08825 -30.804 4915 4921 242
487.916 1.08825 -30.804 4915 4923 238
487.926 1.08825 -30.804 4921 4924 235
487.936 1.08825 -30.804 4923 4922 236
487.946 1.08825 -30.804 4919 4923 239
487.956 1.08825 -30.804 4926 4923 236
487.966 1.08825 -30.804 4924 4923 237
487.976 1.08825 -30.804 4918 4923 243
487.986 1.08825 -30.804 4918 4923 243
487.996 1.08825 -30.804 4922 4922 231
488.006 1.08825 -30.804 4918 4920 240
488.016 1.08825 -30.804 4918 4923 241
488.026 1.08825 -30.804 4918 4925 236
488.036 1.08825 -30.804 4916 4922 232
488.046 1.08825 -30.804 4918 4921 236
488.056 1.08825 -30.804 4917 4922 231
488.066 1.08825 -30.804 4918 4922 238
488.076 1.08825 -30.804 4921 4924 239
488.086 1.08825 -30.804 4920 4924 239
488.096 1.08825 -30.804 4918 4923 237
488.106 1.08825 -30.804 4916 4923 237
488.116 1.08825 -30.804 4914 4922 238
488.127 1.08825 -30.804 4917 4924 234
488.137 1.08825 -30.804 4923 4925 235
488.147 1.08825 -30.804 4921 4924 235
488.157 1.08825 -30.804 4918 4924 242
488.167 1.08825 -30.804 4920 4924 233
488.176 1.08825 -30.804 4921 4925 239
488.186 1.08825 -30.804 4922 4928 238
488.196 1.08825 -30.804 4915 4926 238
488.206 1.08825 -30.804 4917 4924 229
488.216 1.08825 -30.804 4920 4925 236
488.226 1.08825 -30.804 4923 4923 236
488.236 1.08825 -30.804 4923 4922 237
488.246 1.08825 -30.804 4917 4919 233
488.256 1.08825 -30.804 4919 4921 237
488.266 1.08825 -30.804 4924 4923 235
488.276 1.08825 -30.804 4925 4923 236
488.286 1.08825 -30.804 4921 4923 238
488.296 1.08825 -30.804 4914 4922 235
488.306 1.08825 -30.804 4915 4923 231
488.316 1.08825 -30.804 4918 4924 235
488.326 1.08825 -30.804 4915 4924 233
488.336 1.08825 -30.804 4919 4922 241
488.346 1.08825 -30.804 4919 4922 236
488.356 1.08825 -30.804 4918 4924 234
488.366 1.08825 -30.804 4920 4926 233
488.376 1.08825 -30.804 4919 4923 239
488.386 1.08825 -30.804 4920 4921 237
488.396 1.08825 -30.804 4918 4923 236
488.406 1.08825 -30.804 4915 4922 236
488.416 1.08825 -30.804 4918 4924 233
488.426 1.08825 -30.804 4916 4924 238
488.436 1.08825 -30.804 4917 4922 234
488.446 1.08825 -30.804 4922 4922 233
488.456 1.08825 -30.804 4919 4923 243
488.466 1.08825 -30.804 4918 4924 234
488.476 1.08825 -30.804 4918 4923 238
488.486 1.08825 -30.804 4919 4921 238
488.496 1.08825 -30.804 4920 4921 240
488.506 1.08825 -30.804 4922 4921 238
488.516 1.08825 -30.804 4919 4921 241
488.526 1.08825 -30.804 4916 4920 235
488.536 1.08825 -30.804 4915 4920 238
488.546 1.08825 -30.804 4913 4921 239
488.556 1.08825 -30.804 4915 4922 233
488.566 1.08825 -30.804 4916 4921 232
488.576 1.08825 -30.804 4917 4919 236
488.586 1.08825 -30.804 4920 4921 234
488.596 1.08825 -30.804 4920 4922 239
488.606 1.08825 -30.804 4919 4923 238
488.616 1.08825 -30.804 4920 4922 235
488.626 1.08825 -30.804 4918 4918 234
488.636 1.08825 -30.804 4918 4921 236
488.646 1.08825 -30.804 4918 4925 239
488.656 1.08825 -30.804 4918 4925 237
488.666 1.08825 -30.804 4921 4921 233
488.676 1.08825 -30.804 4921 4921 238
488.686 1.08825 -30.804 4917 4923 242
488.696 1.08825 -30.804 4918 4922 236
488.706 1.08825 -30.804 4915 4921 238
488.716 1.08825 -30.804 4916 4923 236
488.726 1.08825 -30.804 4918 4922 239
488.736 1.08825 -30.804 4914 4920 236
488.746 1.08825 -30.804 4917 4921 237
488.756 1.08825 -30.804 4918 4923 238
488.766 1.08825 -30.804 4916 4923 244
488.776 1.08825 -30.804 4918 4923 240
488.786 1.08825 -30.804 4921 4922 240
488.796 1.08825 -30.804 4920 4924 236
488.806 1.08825 -30.804 4922 4924 233
488.816 1.08825 -30.804 4922 4923 233
488.826 1.08825 -30.804 4916 4922 236
488.836 1.08825 -30.804 4911 4921 240
488.846 1.08825 -30.804 4917 4923 241
488.856 1.08825 -30.804 4920 4921 241
488.866 1.08825 -30.804 4919 4920 239
488.876 1.08825 -30.804 4924 4922 236
488.886 1.08825 -30.804 4925 4925 239
488.896 1.08825 -30.804 4915 4925 245
488.906 1.08825 -30.804 4912 4928 231
488.916 1.08825 -30.804 4918 4925 236
488.926 1.08825 -30.804 4919 4921 239
488.936 1.08825 -30.804 4920 4924 233
488.946 1.08825 -30.804 4925 4927 236
488.956 1.08825 -30.804 4923 4924 237
488.966 1.08825 -30.804 4922 4924 234
488.976 1.08825 -30.804 4922 4925 243
488.986 1.08825 -30.804 4916 4921 232
488.996 1.08825 -30.804 4915 4923 240
489.006 1.08825 -30.804 4915 4923 237
489.016 1.08825 -30.804 4916 4920 240
489.026 1.08825 -30.804 4917 4921 240
489.036 1.08825 -30.804 4915 4924 236
489.046 1.08825 -30.804 4915 4923 235
489.056 1.08825 -30.804 4918 4922 242
489.066 1.08825 -30.804 4921 4925 242
489.076 1.08825 -30.804 4918 4924 241
489.086 1.08825 -30.804 4916 4922 234
489.096 1.08825 -30.804 4918 4921 238
489.106 1.08825 -30.804 4917 4921 236
489.116 1.08825 -30.804 4916 4923 233
489.126 1.08825 -30.804 4916 4924 238
489.136 1.08825 -30.804 4917 4923 235
489.146 1.08825 -30.804 4920 4924 238
489.156 1.08825 -30.804 4921 4925 234
489.166 1.08825 -30.804 4918 4923 234
489.176 1.08825 -30.804 4916 4922 236
489.186 1.08825 -30.804 4926 4922 239
489.196 1.08825 -30.804 4928 4923 239
489.206 1.08825 -30.804 4921 4925 232
489.216 1.08825 -30.804 4921 4925 234
489.226 1.08825 -30.804 4914 4921 238
489.236 1.08825 -30.804 4915 4922 234
489.246 1.08825 -30.804 4920 4924 241
489.256 1.08825 -30.804 4921 4923 234
489.266 1.08825 -30.804 4920 4923 240
489.276 1.08825 -30.804 4918 4922 238
489.286 1.08825 -30.804 4924 4923 237
489.296 1.08825 -30.804 4921 4924 235
489.306 1.08825 -30.804 4918 4924 235
489.316 1.08825 -30.804 4917 4925 237
489.326 1.08825 -30.804 4913 4924 239
489.336 1.08825 -30.804 4915 4925 241
489.346 1.08825 -30.804 4920 4927 238
489.356 1.08825 -30.804 4923 4924 238
489.366 1.08825 -30.804 4921 4923 235
489.376 1.08825 -30.804 4921 4924 242
489.386 1.08825 -30.804 4917 4924 235
489.396 1.08825 -30.804 4905 4922 237
489.406 1.08825 -30.804 4903 4922 239
489.416 1.08825 -30.804 4916 4923 238
489.426 1.08825 -30.804 4917 4924 239
489.436 1.08825 -30.804 4912 4924 236
489.446 1.08825 -30.804 4914 4922 245
489.456 1.08825 -30.804 4915 4921 235
489.466 1.08825 -30.804 4915 4923 230
489.476 1.08825 -30.804 4917 4925 238
489.486 1.08825 -30.804 4915 4923 233
489.496 1.08825 -30.804 4913 4922 231
489.506 1.08825 -30.804 4916 4923 237
489.516 1.08825 -30.804 4923 4922 233
